token,label_gt,prediction
C',0,1
era,0,1
una,0,1
volta,0,1
…,0,1
–,0,1
Un,0,1
re,0,1
!,0,1
–,0,1
diranno,0,1
subito,0,1
i,0,1
miei,0,1
piccoli,0,1
lettori,0,1
.,1,1
–,0,1
No,0,1
",",0,1
ragazzi,0,1
",",0,1
avete,0,1
sbagliato,0,1
.,1,1
C',0,1
era,0,1
una,0,1
volta,0,1
un,0,1
pezzo,0,1
di,0,1
legno,0,1
.,1,1
Non,0,1
era,0,1
un,0,1
legno,0,1
di,0,1
lusso,0,1
",",0,1
ma,0,1
un,0,1
semplice,0,1
pezzo,0,1
da,0,1
catasta,0,1
",",0,1
di,0,1
quelli,0,1
che,0,1
d',0,1
inverno,0,1
si,0,1
mettono,0,1
nelle,0,1
stufe,0,1
e,0,1
nei,0,1
caminetti,0,1
per,0,1
accendere,0,1
il,0,1
fuoco,0,1
e,0,1
per,0,1
riscaldare,0,1
le,0,1
stanze,0,1
.,1,1
Non,0,1
so,0,1
come,0,1
andasse,0,1
",",0,1
ma,0,1
il,0,1
fatto,0,1
gli,0,1
è,0,1
che,0,1
un,0,1
bel,0,1
giorno,0,1
questo,0,1
pezzo,0,1
di,0,1
legno,0,1
capitò,0,1
nella,0,1
bottega,0,1
di,0,1
un,0,1
vecchio,0,1
falegname,0,1
",",0,1
il,0,1
quale,0,1
aveva,0,1
nome,0,1
mastr'Antonio,0,1
",",0,1
se,0,1
non,0,1
che,0,1
tutti,0,1
lo,0,1
chiamavano,0,1
maestro,0,1
Ciliegia,0,1
",",0,1
per,0,1
via,0,1
della,0,1
punta,0,1
del,0,1
suo,0,1
naso,0,1
",",0,1
che,0,1
era,0,1
sempre,0,1
lustra,0,1
e,0,1
paonazza,0,1
",",0,1
come,0,1
una,0,1
Ciliegia,0,1
matura,0,1
.,1,1
Appena,0,0
maestro,0,0
Ciliegia,0,0
ebbe,0,0
visto,0,0
quel,0,0
pezzo,0,0
di,0,0
legno,0,0
",",0,0
si,0,0
rallegrò,0,0
tutto,0,0
;,0,0
e,0,0
dandosi,0,0
una,0,0
fregatina,0,0
di,0,0
mani,0,1
per,0,1
la,0,1
